Temps (s),Angle (rad)
8.09972,-0.719424718
8.107912,-0.731991088
8.116104,-0.744557459
8.124296,-0.75712383
8.132488,-0.766548607
8.139656,-0.779114978
8.147848,-0.788539756
8.15604,-0.797964534
8.164232,-0.807389312
8.172424,-0.813672497
8.180616,-0.819955683
8.187784,-0.829380461
8.195976,-0.835663646
8.204168,-0.841946831
8.21236,-0.845088424
8.220552,-0.851371609
8.22772,-0.854513202
8.235912,-0.857654794
8.244104,-0.860796387
8.254344,-0.86393798
8.303496,-0.860796387
8.313736,-0.857654794
8.322952,-0.854513202
8.329096,-0.851371609
8.33524,-0.848230016
8.341384,-0.845088424
8.348552,-0.841946831
8.35572,-0.835663646
8.363912,-0.829380461
8.372104,-0.823097275
8.380296,-0.81681409
8.388488,-0.807389312
8.395656,-0.801106127
8.403848,-0.791681349
8.41204,-0.782256571
8.420232,-0.772831793
8.428424,-0.760265422
8.436616,-0.750840644
8.443784,-0.738274274
8.451976,-0.728849496
8.460168,-0.716283125
8.46836,-0.700575162
8.475528,-0.688008791
8.48372,-0.675442421
8.491912,-0.659734457
8.500104,-0.647168087
8.508296,-0.631460123
8.516488,-0.61575216
8.523656,-0.596902604
8.531848,-0.581194641
8.54004,-0.565486678
8.548232,-0.546637122
8.556424,-0.530929158
8.563592,-0.512079603
8.571784,-0.493230047
8.579976,-0.474380491
8.588168,-0.455530935
8.59636,-0.436681379
8.603528,-0.417831823
8.61172,-0.395840674
8.619912,-0.376991118
8.628104,-0.35499997
8.636296,-0.336150414
8.644488,-0.314159265
8.651656,-0.292168117
8.659848,-0.273318561
8.66804,-0.251327412
8.676232,-0.229336264
8.684424,-0.207345115
8.692616,-0.185353967
8.699784,-0.163362818
8.707976,-0.141371669
8.716168,-0.119380521
8.72436,-0.0973893723
8.732552,-0.0753982237
8.73972,-0.0534070751
8.747912,-0.0314159265
8.756104,-0.00942477796
8.764296,0.0125663706
8.772488,0.0345575192
8.78068,0.0565486678
8.787848,0.081681409
8.79604,0.100530965
8.804232,0.122522113
8.812424,0.147654855
8.820616,0.166504411
8.827784,0.188495559
8.835976,0.210486708
8.844168,0.232477856
8.85236,0.254469005
8.860552,0.273318561
8.868744,0.295309709
8.875912,0.314159265
8.884104,0.336150414
8.892296,0.35499997
8.900488,0.373849526
8.90868,0.395840674
8.915848,0.41469023
8.92404,0.433539786
8.932232,0.452389342
8.940424,0.471238898
8.948616,0.486946861
8.956808,0.505796417
8.963976,0.52150438
8.972168,0.540353936
8.98036,0.5560619
8.988552,0.571769863
8.996744,0.587477826
9.003912,0.603185789
9.012104,0.618893753
9.020296,0.634601716
9.028488,0.647168087
9.03668,0.66287605
9.044872,0.675442421
9.05204,0.688008791
9.060232,0.700575162
9.068424,0.713141532
9.076616,0.72256631
9.084808,0.735132681
9.091976,0.744557459
9.100168,0.753982237
9.10836,0.763407015
9.116552,0.772831793
9.124744,0.782256571
9.131912,0.788539756
9.140104,0.797964534
9.148296,0.804247719
9.156488,0.810530905
9.16468,0.81681409
9.172872,0.819955683
9.18004,0.826238868
9.188232,0.829380461
9.196424,0.832522053
9.204616,0.835663646
9.212808,0.838805239
9.219976,0.841946831
9.270152,0.838805239
9.281416,0.835663646
9.290632,0.832522053
9.2978,0.829380461
9.303944,0.826238868
9.310088,0.823097275
9.316232,0.819955683
9.324424,0.81681409
9.332616,0.810530905
9.340808,0.804247719
9.347976,0.797964534
9.356168,0.788539756
9.36436,0.782256571
9.372552,0.772831793
9.380744,0.763407015
9.388936,0.753982237
9.396104,0.744557459
9.404296,0.735132681
9.412488,0.725707903
9.42068,0.713141532
9.428872,0.700575162
9.43604,0.688008791
9.444232,0.675442421
9.452424,0.66287605
9.460616,0.650309679
9.468808,0.634601716
9.477,0.622035345
9.484168,0.606327382
9.49236,0.590619419
9.500552,0.574911456
9.508744,0.559203492
9.516936,0.543495529
9.525128,0.527787566
9.532296,0.512079603
9.540488,0.493230047
9.54868,0.477522083
9.556872,0.458672527
9.565064,0.439822972
9.572232,0.420973416
9.580424,0.40212386
9.588616,0.383274304
9.596808,0.364424748
9.605,0.345575192
9.613192,0.326725636
9.62036,0.304734487
9.628552,0.285884931
9.636744,0.263893783
9.644936,0.245044227
9.653128,0.223053078
9.660296,0.204203522
9.668488,0.182212374
9.67668,0.160221225
9.684872,0.141371669
9.693064,0.119380521
9.701256,0.0973893723
9.708424,0.0753982237
9.716616,0.0565486678
9.724808,0.0345575192
9.733,0.0125663706
9.741192,-0.00942477796
9.74836,-0.0314159265
9.756552,-0.0502654825
9.764744,-0.072256631
9.772936,-0.0942477796
9.780104,-0.116238928
9.788296,-0.135088484
9.796488,-0.157079633
9.80468,-0.179070781
9.812872,-0.197920337
9.821064,-0.219911486
9.828232,-0.238761042
9.836424,-0.26075219
9.844616,-0.279601746
9.852808,-0.298451302
9.861,-0.320442451
9.869192,-0.339292007
9.87636,-0.358141563
9.884552,-0.376991118
9.892744,-0.395840674
9.900936,-0.41469023
9.909128,-0.433539786
9.916296,-0.449247749
9.924488,-0.468097305
9.93268,-0.483805269
9.940872,-0.502654825
9.949064,-0.518362788
9.957256,-0.534070751
